label,review
negative,"Barang sudah diterima, tapi bahan tidak bagus, ada koyak sikit, kusam,lem pun tak bagus... ukuran kurang cocok, ukuran 41, sepertinya ukuran 40. Biasa saya pakai ukuran 41 masih longgar."
positive,Produk bagus sesuai harga.
positive,"arang nya sudah sampai,tepianya lepas semua.terpaksa dijahit ulang,yg pingkiran tepi nya lain dan beda,maaf dikasih bintang 2 aja"
positive,"Sepatunya murah meriah, puas deh pokoknya, terima kasih seller. Sepatunya murah meriah, puas deh pokoknya, terima kasih seller"
negative,"Barang nya gak sesuai pesanan udah lah banyak yang cacat model gak ada kotak nya cuman di kasi plastik habis penyok semua pas sampai,, lain kali hati yaa bos jualan nya,, utama kan kepuasan pelanggan,,,,,,ok"
positive,"Baru sempet kasih penilaian,barang sudah diambil sama pelanggan,terimakasih udah sesuai dengan pesanan,semoga selalu amanah."
positive,"Sepatu nya sgt berkualitas dan nyaman utk dipakai, tp kemasannya itu bkn kardus tetapi memakai plastik, tetapi soal bagus atau tdknya itu sdh pasti sgt bagus"
negative,"Bahan jelek, respon lama, packing ancuurrrr... Parah ga layak, jangan beli di sjni ntar kecewa"
positive,Barang datang sesuai pesanan. Sedikit agak pudar warna dibagian tepinya. Sesuai dengan harga yang ditawarkan. Dikemas dengan baik. Pengirimannya juga cepat. Trimakasih seller & kurir.
negative,TOLONG YA PACKING ITU LIAT BAIK BAIK DULU SAYA PESAN 2 TAPI MUNCUL 1 SAJA MAU KEMBALIKAN JUGA ORANG SUDAH BUTUH INI SEPATU ORANG HUBUNGI TIDAK RESPON JUGA SEDANGKAN SAYA SUDAH BELANJA ULANG ULANG TAPI LAYANI ORANG YANG SUDAH PERCAYA TIDAK BAIK BAIK. SAYA STOP BELANJA DI INI TOKO.
negative,Kecewa bgt sma sepatu ny klyatan bgt kotor ny kya sepatu bekas
positive,"Pengiriman cepat dan packing rapi, bahan joss mantap pokoknya smog awet selaluu"
negative,Nysel saya beli disini pesenya warna apa yg dateng warna apa.. Udh barang nympe kucel kotor lagi parah
positive,Paket ku sudah datang pengiriman kilat sesuai pesanan Terima kasih reseller Terima kasih shoppypay terimakasih pak kurir bisa buat langganan selamanya penjualnya ramah
positive,Bagus untuk harga segini aja pengemasan standar pengiriman cepat harga murah
negative,Masa gak ada talinya
positive,Kualitas bagus Pokoknya gak mengecewakan Sesuai dgn ukuran
positive,Barang dah mendarat lumayan bagus lah dengang harga segitu makasih semoga sukses terus
negative,Enggak kayak gambarnya . kecewa.
positive,Pesannya Sudah Sampai dengan pengiriman cepat dan Warna sesuai oderan mantap.
negative,"Jangan beli, nggak recommended.. Barang nggak real pict, warna putihnya udah pudar jadi kuning,"
positive,"Paket nya udah sampai barangnya bagus dan pelanggan saya suka makasih, maaf Poto dan Video beda, soalnya barang udah diambil"
negative,Sampe di rumah ga tau barang nya udh lepas lem nya sangat kecewa
negative,Baru datang sudah jebol kualitas nya kurang kecewa
positive,"Paket mendarat dengan aman rapi,Lumayan dengan harga segitu ..beda harga beda juga kualitas .. lumayan kok kalo masalah ngeletek apa enggaknya ya nanti bisa di sol . Terimakasih seller .. semoga sukses"
positive,Terima kasih atas pengiriman barangnya. Barangnya telah tiba dengan baik. Nyaman digunakan sepatunya. Mudahan sepatunya bisa awet dan nyaman digunakan.
negative,"Pengecat an nya kurang rapih, meleber² Sepatu nya jg tipis,tapi semoga aja bisa awet"
positive,Alhamdulillah pketnya sdh smpai barangnya bagus kurirnya ramah walaupun sepatunya TDK pke kardus sepatu cuma kresek aja tp bahan sesuai harga sukses terus ya
negative,Kecewa belanja di toko ini warna cat belepotan dan lem banyak yang tidak rekat pengiriman juga tidak pakai box jadi sepatu pada rusak. Tidak kuulangi lagi belanja disini
positive,Barang bagus saya suka banget terimakasih kurir barangnya sampai dengan selamat dan gk lecek tp ke besaraan dikit
negative,"Saya pesan 2 sepatu dengan ukuran yang sama nomer 40, tapi yang datang ukuranya berbeda yang hitam jauh lebih kecil, tidak sesuai dengan yang di pesan. Sangat kecewa kan jadi nya yang hitam tidak bisa saya pakai. Tidak ada nomer sepatu yang tertera jadi tokonya asal kirim aja spertinya... Kecewa"
positive,Alhamdulillah pas bagus sesuai dengan harga yang diberikan semoga awet dan semoga tokonya makin maju biar bisa ngasih lebih banyak produk yang bagus nan murah
positive,"Seller ramah, pengiriman cepat, warna sesuai, tidak mengecewakan"
negative,Sumpah demi apa baru kali ini pesan di shoopy barangnya mengecewakan sekali
negative,Barang tidak Sesuai!penjualnya Jugaa Tidak bertanggung jawab Dikirim Tanpa tali sepatu!!Bahannya Jugaa Mengecewakan...saya minta kirimin tali sepatunya tapi banyak alasan mereka buatt...jangan Mau belanja ditoko ini!!!
positive,Barang sudah sampai dan sesuai pesanan... Untuk harga murah banget.dan kualitas cukup sepadan lah dengan harga yang sangat murah... Cuma di pengiriman aja super lama karna saya nyoba pakek kargo ternyata lama bgt
negative,sangat kecewa karna tali sepatunya di kasih yg rusak atau yg udah putus.!!
positive,"Sepatunya murah meriah, puas deh pokoknya, terima kasih seller. Sepatunya murah meriah, puas deh pokoknya, terima kasih seller"
positive,Bagusss akubsuka bangett murah lagi Bajunya bagus bangettttt aku sukak real pict lagi bahannya adem nyaman dipakai dan haluss banget dan akan jadi pelanggna setia nihhh karna bagusss bangettt ayo orderr disini
negative,"Barang yg di pajang (difoto) sama yg dikirim jauh visual'nya (beda kwalitas) foto barang yg dikirim, foto 2gambar yg ada di aplikasi penjual, pengemasan/packing ngasal, respon penjual lambat, pengiriman kacau (salah alamat)...tidak ada penilaian baik'nya atas produk ini..!!"
positive,KUALITAS DI BAWAH HARGA!! KALO PUTIH NYA PUTIH CAT GAUSAH DIKIRIM. KIRIM AJA WARNA HITAM. SAYA KASIH BINTANG 5 CUMA DEMI KOIM DOANG BUKAN KARNA KUALITAS YANG BAGUSS!!
negative,Sepatu bekas ko di jual...gk sesuai gambar..rugi banget udah.
negative,kecewa.. pesan 39 d antar ukuran 41.. kan. aneh nam nya..
positive,Sepatunya bagus untuk harga yang murah dan pengirimannya cepat
negative,"Pelayanan ancur bnget ga di respon sama sekali tau "" langsung di kirim aja, dan baru di kirim nya 3 hari setelah saya tf padahal jam kerja kuliatas nya biar foto aja yg menilai padahal saya cumn pake ke mall doang apa lgi di pake buat olahraga habis deh, say nilai jelek spaya d perbki lgi kdepanya"
negative,Nyesel banget beli bahan sangat buruk. Pokoknya nyesel ga bakal beli lagi dah. Di cancel gamau padahal pesannnya belum dua puluh menit
positive,Barang sudah sampai dan sesuai pesanan... Untuk harga murah banget.dan kualitas cukup sepadan lah dengan harga yang sangat murah... Cuma di pengiriman aja super lama karna saya nyoba pakek kargo ternyata lama bgt..
negative,Sepatu tidak sesuai dengan yg di posting.. Lem tidak rapi.. Tali sepatu juga tidak ada.. Tolong di perhatikan lagi kualitas sepatunya..
positive,"Horeee sdh datang, pengirman cepat sekali priduk baguss kualitas produk baik, senengg bangeettt, harha sangat terjangkau respon penjual baik dan kecepatan kirim barangnya juga sangat baik, makasihh seller semoga lariss maniss yah."
negative,"Kecewa skalii,,,itu tandax Anda berbohong,,,katax stok navy sdah ada n siap kirim,,nyatax yg d kirim warna putih,,SC saya gak mau ambil Sangat kecewaa sdah d bohingi"
positive,Pesannya Sudah Sampai dengan pengiriman cepat dan Warna sesuai oderan mantap.
negative,"Sepatunya gk sesuai sma digambar,, tapak sepatunya gk sesuai sma yg digambar.. Pdahal liat komennya barangnya sesuai ad kemiripan la aku liat,giliran dibeli eh zonk ternyata.. !! Kecewa.."
positive,Bagus sesuai pesanan semua.. maaf lama baru kasi ulasan soalnya sibuk...sukses shopee dan seller..
positive,"Seller ramah, pengiriman cepat, warna sesuai, tidak mengecewakan"
negative,"Barang gak sesuai gambar, rugi beli barang ini, mana packing nya gak rapi lagi, pake plastik doang gak pake kotak"
positive,"Sepatu nya sangat berkualitas dan nyaman untuk dipakai, tp kemasannya itu bkn kardus tetapi memakai plastik, tetapi soal bagus atau tdknya itu sdh pasti sgt bagus"
negative,Kualitas sangat buruk. Sangat jauh dari deskripsi dan fotonya.
negative,Barang bagus cuman pas nyampek lem nya lepas langsung ku lem Pengiriman sangan lambat
positive,"Sepatu cukup bagus untuk harga yang murah, tapi sayang packing kurang rapi"
negative,Kondisi bekas tidak sesuai di foto berjamur pulak itu
positive,Sebenarnya bagus... Bahan dan kwalitas nya... Tapi salah kirim warna .. Ga apa-apalah... Ibu ku suka kok ... Untuk selanjutnya mohon jangan salah lagi ya kak.. Sayang loh udah best seller tapi dalam pengiriman nya salah warna/ukuran... Jangan buat pelanggan kecewa ya kakak.. TERIMAKASIH
positive,Kualitas menyesuaikan dengan harga. Lumayan lah buat kamu yang butuh sepatu buat harian atau buat kerja di kanto
negative,kualitas sepatu tidak sesuai dengan yang di postingkan. ancur pokonya leman bawah nya juga jelek banget.
negative,Emang sesuai harga sih. Baru di pake setengah hari langsung copot.
positive,Bagusss akubsuka bangett murah lagi Bajunya bagus bangettttt aku sukak real pict lagi bahannya adem nyaman dipakai dan haluss banget dan akan jadi pelanggna setia nihhh karna bagusss bangettt ayo orderr disini
negative,Kurang rapih
negative,Mengecewakan
negative,lebih parah dr sepatu yg dua puluh ribu mending beli sendal swallow lebih awet ini mah kirain tengah nya angin ternyata cuma di cat hitam ga perlu flash sale kl barang kyk gini mah di tanabang juga banyak najes gw pake nya
negative,Nggk amanah aseli kapok pesen disni Alasnya masak bolong bgitu nggk amanahnyesel banget pesen disni
positive,"Produk bagus, pengiriman cepat.. Overall oke lah.. Ada harga ada rupa"
negative,"Sangat mengecewakan, baru juga di coba lem nya udh lepas aja"
positive,"Sepatunya si bagus tapi saya pesennya yang wanra item size 43 kok yang di kirim malah ukuran kecil ya kek ukuran 40 liat tu sama kan sama sepatu yang putih ukuran 40,,, radak kecewa siiii... Tapi gak papa soalnya sepatunya harganya juga cuma 15rban😂 ya wajar kalok di kirim random.. Baru pertama k"
negative,"Sy kecewa sy kira motif striip hitam nya karet,ternyata cuma cat hitam doang,maaf sy cuma kasih bintang satu"
positive,Terimakasih barang sesuai gak nunggu lama. Terimakasih
positive,Barang bagus sesuai foto mantap sangat memuas kan semoga awet
positive,Barangnya bagus dengan harga yang terjangkau sudah bisa dapet sepatu sebagus ini
